Код;Бытовая техника / Красота и здоровье / Бритье и эпиляция / Аксессуары к бритвам;М1;М2;М3;М4;М5;М6;М7;М8;М9;М10;М11;Цена, руб;Бонусы
1362957;Бритвенная головка Atlanta SP-6601;;;;;;;;;М9;;;350;0
1346549;Бритвенная головка DEXP RSR-3100;;М2;;;;;;;;;;350;0
179607;Бритвенная головка Philips HQ56/50;М1;М2;;М4;;М6;;;;;;2 299;0
179611;Бритвенная головка Philips RQ11/50;М1;М2;М3;М4;;М6;М7;;М9;;;3 850;0
179615;Бритвенная головка Philips RQ32/20;М1;;;;;;М7;;;;;2 099;0
1048261;Бритвенная головка Philips SH30/50;М1;М2;М3;;;М6;М7;;;;;2 150;0
1170199;Бритвенная головка МИКМА 353Р;;;;;;;;;;;М11;450;0
1170176;Бритвенная головка Микма М-256 Р;;;;;;;;;М9;;;370;0
8164923;Бритвенная головка МИКМА М-309;М1;;М3;М4;;;;;;;;780;0
1170195;Бритвенная головка МИКМА М-352 Р;;;;;;;;;М9;;;450;0
8164925;Бритвенная головка МИКМА М-359Р;М1;;М3;;;;;;;;;399;0
179616;Жидкость для чистки бритвенных головок Philips HQ200/50;М1;М2;М3;М4;;;;М8;;;М11;1 299;0
1656595;Масло для смазки электробритв и машинок Braun 81611628;М1;М2;;;;;М7;;;;;599;0
199865;Масло для смазки электробритв и машинок EURO Clean EUR A-06;М1;М2;М3;М4;;М6;М7;М8;М9;М10;М11;160;0
1694849;Насадка для стайлинга Braun 05-BT EasyClick;М1;;М3;М4;;;;;;;;2 299;0
1694848;Насадка для стайлинга Braun 06-BDT;М1;;М3;;;;;;М9;;;2 299;0
1694850;Насадка для стайлинга Braun 08-3DBT Black + 4 гребня 08-3DBT;М1;;М3;;;;;;;;;2 299;0
1603412;Режущий блок Braun 83M Series 8;М1;;;;;;М7;;М9;;;5 699;0
1603420;Режущий блок Braun 92M Series 9;М1;;;;;М6;М7;;М9;;М11;5 999;0
193768;Режущий блок Panasonic WES9850Y1361;М1;;;;М5;;;;;;;999;0
1170167;Режущий блок МИКМА 211;;;;;;;;;М9;;;170;0
177788;Сетка Braun 11B;;;;;;;;;М9;;;1 999;0
1656568;Сетка Panasonic WES9065Y1361;;;;;;;;;М9;;;3 099;0
1165974;Сетка Panasonic WES9165Y1361;М1;;;;;;;;;;;2 199;0
193765;Сетка Panasonic WES9167Y1361;М1;;М3;;;;М7;;;;;2 299;0
177777;Сетка и режущий блок Braun 10B;;М2;;М4;;М6;М7;М8;;;М11;2 950;0
1285052;Сетка и режущий блок Braun 21B;М1;;М3;М4;М5;М6;М7;М8;М9;;М11;1 999;0
1000058;Сетка и режущий блок Braun 30B;М1;М2;;;М5;М6;;М8;М9;;;1 799;0
1000079;Сетка и режущий блок Braun 31B;;М2;;;М5;М6;М7;;М9;;М11;2 599;0
